"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2017 JB2)","2101-2121","9","2.8e-6","2.93","29.1","0.005","-8.03","-8.67","0","bK17J02B"
"(2016 FA14)","2072-2094","5","1.0e-7","15.20","27.4","0.011","-8.04","-8.24","0","bK16F14A"
"(2021 XF1)","2073-2095","8","2.0e-6","7.68","29.5","0.004","-8.04","-8.55","0","bK21X01F"
"(2021 RN5)","2051-2051","1","8.0e-8","14.07","27.6","0.010","-8.04","-8.04","0","bK21R05N"
"(2021 GC13)","2117-2118","4","2.2e-6","6.75","29.1","0.005","-8.05","-8.11","0","bK21G13C"
"(2018 WR)","2114-2116","2","8.0e-8","6.81","26.1","0.020","-8.07","-8.09","0","bK18W00R"
"(2009 DE1)","2084-2084","1","3.3e-9","17.74","24.3","0.047","-8.08","-8.08","0","bK09D01E"
"(2006 BO7)","2060-2067","2","9.7e-7","9.83","29.3","0.005","-8.08","-8.26","0","bK06B07O"
"(2007 YM)","2062-2107","4","2.9e-8","9.04","26.1","0.021","-8.09","-8.29","0","bK07Y00M"
"(2021 RT4)","2082-2120","8","5.0e-7","9.49","28.1","0.008","-8.09","-8.39","0","bK21R04T"
"(1998 BT13)","2087-2107","2","6.2e-8","7.82","26.4","0.018","-8.10","-8.12","0","bJ98B13T"
"(2019 TN5)","2041-2041","1","1.4e-7","11.59","28.4","0.007","-8.11","-8.11","0","bK19T05N"
"(2015 FU344)","2057-2115","18","6.2e-6","9.92","31.0","0.002","-8.11","-8.29","0","bK15FY4U"
"(2020 RE4)","2090-2120","19","2.5e-7","17.82","27.9","0.009","-8.11","-8.55","0","bK20R04E"
"(2015 KH160)","2087-2119","5","2.1e-8","30.13","26.4","0.018","-8.12","-8.51","0","bK15KG0H"
"(2014 KW76)","2096-2117","5","3.3e-7","15.00","28.0","0.008","-8.12","-8.19","0","bK14K76W"
"(2022 DK2)","2054-2054","1","4.4e-8","16.76","27.3","0.012","-8.12","-8.12","0","bK22D02K"
"(2022 GO3)","2119-2119","1","1.3e-7","10.42","26.9","0.014","-8.12","-8.12","0","bK22G03O"
"(2020 BA13)","2083-2105","8","8.7e-7","10.00","28.8","0.006","-8.13","-8.68","0","bK20B13A"
"(2021 LY1)","2040-2040","1","8.7e-8","11.47","28.1","0.008","-8.14","-8.14","0","bK21L01Y"
"(2011 KE15)","2061-2061","1","6.4e-8","7.95","26.9","0.014","-8.14","-8.14","0","bK11K15E"
"(2017 OO1)","2118-2118","1","9.3e-9","10.04","24.5","0.042","-8.14","-8.14","0","bK17O01O"
"(2010 UE)","2032-2044","2","2.4e-7","16.11","29.6","0.004","-8.15","-8.27","0","bK10U00E"
"(2016 VZ17)","2042-2101","15","7.2e-8","9.34","27.4","0.011","-8.15","-8.52","0","bK16V17Z"
"(2022 CL7)","2039-2120","13","1.6e-6","9.40","29.6","0.004","-8.16","-8.54","0","bK22C07L"
"(2014 UA176)","2078-2078","1","7.2e-8","9.22","26.9","0.014","-8.17","-8.17","0","bK14UH6A"
"(2020 PT2)","2085-2085","1","4.1e-8","8.25","26.2","0.020","-8.17","-8.17","0","bK20P02T"
"(2016 CB248)","2121-2121","1","8.8e-8","11.40","26.7","0.016","-8.18","-8.18","0","bK16CO8B"
"(2020 HN3)","2081-2118","14","3.2e-6","4.18","29.6","0.004","-8.18","-8.45","0","bK20H03N"
"(2021 TN14)","2099-2121","8","6.7e-7","10.72","28.5","0.007","-8.18","-8.40","0","bK21T14N"
"(2019 QB1)","2053-2053","1","6.9e-8","11.51","27.5","0.011","-8.18","-8.18","0","bK19Q01B"
"(2012 YR1)","2078-2116","2","6.2e-8","7.78","26.5","0.017","-8.19","-8.31","0","bK12Y01R"
"(2016 AF2)","2076-2121","6","2.3e-7","5.89","27.8","0.009","-8.19","-8.24","0","bK16A02F"
"(2021 AD4)","2084-2084","1","2.5e-8","5.18","25.6","0.025","-8.20","-8.20","0","bK21A04D"
"(2020 TT1)","2117-2117","1","1.0e-7","14.18","27.1","0.013","-8.20","-8.20","0","bK20T01T"
"(2021 NU3)","2093-2117","3","4.9e-7","11.76","28.6","0.006","-8.20","-8.39","0","bK21N03U"
"(2021 BL2)","2038-2119","23","1.2e-7","12.97","28.5","0.007","-8.21","-8.24","0","bK21B02L"
"(2020 UX)","2087-2114","5","9.1e-6","8.37","31.1","0.002","-8.21","-8.30","0","bK20U00X"
"(2014 QJ365)","2106-2121","7","1.8e-7","11.96","27.5","0.011","-8.22","-8.49","0","bK14Qa5J"
"(2020 KU2)","2105-2109","2","2.1e-8","14.34","25.8","0.024","-8.22","-8.33","0","bK20K02U"
"(2016 DY30)","2036-2118","8","6.7e-7","15.59","30.5","0.003","-8.22","-8.24","0","bK16D30Y"
"(2022 BU6)","2108-2108","1","3.0e-8","10.90","25.9","0.022","-8.22","-8.22","0","bK22B06U"
"(2015 FC345)","2072-2117","8","2.7e-7","6.74","27.8","0.009","-8.23","-8.92","0","bK15FY5C"
"(2015 HO182)","2067-2109","2","2.8e-8","11.15","26.4","0.018","-8.24","-8.27","0","bK15HI2O"
"(2015 TB1)","2100-2100","1","5.3e-8","8.33","26.4","0.018","-8.24","-8.24","0","bK15T01B"
"(2007 VJ3)","2103-2112","2","6.4e-9","16.19","24.9","0.035","-8.25","-8.42","0","bK07V03J"
"(2020 FP5)","2110-2121","23","2.8e-6","7.15","29.7","0.004","-8.25","-8.70","0","bK20F05P"
"(2017 VF14)","2080-2091","3","3.4e-7","11.86","28.5","0.007","-8.26","-8.38","0","bK17V14F"
"(2012 DY13)","2074-2116","4","1.2e-7","16.97","27.9","0.009","-8.26","-8.34","0","bK12D13Y"
"(2022 GB)","2121-2122","2","1.8e-6","8.09","29.4","0.004","-8.26","-8.35","0","bK22G00B"
"(2016 AN66)","2076-2106","3","1.5e-7","5.46","27.4","0.011","-8.27","-8.52","0","bK16A66N"
"(2016 WQ1)","2084-2116","6","2.7e-7","7.67","27.9","0.009","-8.27","-8.63","0","bK16W01Q"
"(2016 JX11)","2092-2092","1","4.4e-9","17.62","24.9","0.036","-8.27","-8.27","0","bK16J11X"
"(2020 XP3)","2119-2119","1","3.9e-9","23.42","24.8","0.038","-8.27","-8.27","0","bK20X03P"
"(2016 UR36)","2107-2121","3","1.2e-7","16.64","27.5","0.011","-8.28","-8.37","0","bK16U36R"
"(2011 WQ4)","2081-2119","3","1.7e-7","7.15","27.4","0.011","-8.29","-8.44","0","bK11W04Q"
"(2021 BO2)","2050-2050","1","1.4e-7","10.30","28.4","0.007","-8.30","-8.30","0","bK21B02O"
"(2015 PS228)","2080-2115","4","8.5e-7","2.55","28.9","0.005","-8.30","-8.34","0","bK15PM8S"
"(2020 BY11)","2114-2120","5","2.4e-7","12.49","27.9","0.009","-8.30","-8.77","0","bK20B11Y"
"(2019 BV2)","2111-2120","4","1.3e-8","15.23","25.5","0.027","-8.31","-8.49","0","bK19B02V"
"(2019 EF)","2114-2119","5","3.9e-8","17.72","26.6","0.016","-8.31","-8.53","0","bK19E00F"
"(2021 XC4)","2101-2119","4","2.5e-8","15.78","26.3","0.019","-8.32","-8.49","0","bK21X04C"
"(2021 WN2)","2100-2119","5","6.9e-8","8.07","26.6","0.016","-8.33","-8.58","0","bK21W02N"
"(2020 UB)","2080-2080","1","1.4e-7","11.21","27.9","0.009","-8.33","-8.33","0","bK20U00B"
"(2021 GL16)","2111-2111","1","5.2e-8","5.69","26.3","0.019","-8.33","-8.33","0","bK21G16L"
"(2019 DM1)","2088-2088","1","1.2e-7","17.50","28.0","0.008","-8.33","-8.33","0","bK19D01M"
"(2019 SM8)","2061-2066","2","3.4e-7","14.05","29.2","0.005","-8.33","-8.33","0","bK19S08M"
"(2021 BO1)","2077-2077","1","5.4e-7","10.19","29.1","0.005","-8.34","-8.34","0","bK21B01O"
"(2018 LE1)","2102-2102","1","2.2e-7","5.90","27.7","0.010","-8.34","-8.34","0","bK18L01E"
"(2021 TT)","2060-2060","1","6.4e-8","15.76","27.9","0.009","-8.35","-8.35","0","bK21T00T"
"(2022 KO3)","2098-2116","2","2.6e-7","10.14","28.0","0.008","-8.35","-8.47","0","bK22K03O"
"(2020 DW)","2108-2108","1","4.8e-6","3.79","30.3","0.003","-8.36","-8.36","0","bK20D00W"
"(2016 EU84)","2115-2118","3","1.2e-6","2.39","28.9","0.005","-8.36","-8.46","0","bK16E84U"
"(2020 XC)","2085-2117","3","8.0e-7","3.52","29.0","0.005","-8.36","-8.38","0","bK20X00C"
"(2017 XY2)","2108-2108","1","9.8e-8","7.88","27.1","0.013","-8.37","-8.37","0","bK17X02Y"
"(2020 NY)","2068-2114","2","2.3e-8","11.75","26.2","0.020","-8.37","-8.62","0","bK20N00Y"
"(2020 KJ4)","2076-2121","6","2.7e-6","4.23","29.9","0.004","-8.38","-8.44","0","bK20K04J"
"(2020 QR5)","2111-2119","3","1.5e-7","6.81","27.3","0.012","-8.38","-8.42","0","bK20Q05R"
"(2021 RS14)","2111-2117","2","2.7e-7","10.61","28.1","0.008","-8.38","-8.55","0","bK21R14S"
"(2020 WA1)","2044-2078","5","1.1e-7","19.85","28.6","0.006","-8.39","-8.72","0","bK20W01A"
"(2010 XX)","2100-2100","1","9.0e-8","8.64","27.2","0.012","-8.39","-8.39","0","bK10X00X"
"(2019 WH4)","2113-2113","1","1.3e-7","8.78","27.4","0.011","-8.39","-8.39","0","bK19W04H"
"(2012 DJ14)","2119-2119","1","1.4e-8","14.32","25.7","0.024","-8.40","-8.40","0","bK12D14J"
"(2010 SP3)","2115-2115","1","3.9e-9","17.26","24.7","0.038","-8.40","-8.40","0","bK10S03P"
"(2021 RO16)","2095-2119","7","5.2e-8","7.58","26.6","0.016","-8.40","-8.71","0","bK21R16O"
"(2013 NR13)","2114-2114","1","1.7e-8","11.31","25.8","0.024","-8.41","-8.41","0","bK13N13R"
"(2014 WR362)","2078-2078","1","5.5e-8","12.07","27.3","0.012","-8.42","-8.42","0","bK14Wa2R"
"(2020 DP14)","2056-2119","24","2.4e-6","6.44","30.3","0.003","-8.42","-9.06","0","bK20D14P"
"(2014 DK10)","2060-2118","3","9.5e-8","11.80","27.8","0.009","-8.42","-8.75","0","bK14D10K"
"(2020 HM6)","2071-2099","4","2.2e-8","15.19","26.6","0.016","-8.42","-8.70","0","bK20H06M"
"(2022 ED)","2115-2119","5","9.2e-7","4.86","29.0","0.005","-8.44","-8.87","0","bK22E00D"
"(2019 ED)","2104-2119","3","8.6e-8","2.43","26.9","0.014","-8.45","-8.52","0","bK19E00D"
"(2018 BP3)","2099-2115","2","5.4e-7","6.92","28.7","0.006","-8.45","-8.47","0","bK18B03P"
"(2007 EE26)","2086-2097","2","2.8e-8","4.62","26.1","0.021","-8.45","-8.47","0","bK07E26E"
"(2022 CB3)","2083-2120","15","1.5e-6","16.80","30.5","0.003","-8.47","-9.06","0","bK22C03B"
"(2013 EC20)","2068-2118","12","6.7e-7","2.68","29.0","0.005","-8.48","-8.96","0","bK13E20C"
"(2021 JV)","2061-2061","1","4.2e-8","9.96","27.4","0.011","-8.48","-8.48","0","bK21J00V"
"(2020 VB3)","2082-2120","15","1.4e-6","5.37","29.6","0.004","-8.48","-8.89","0","bK20V03B"
"(2020 KD1)","2042-2061","2","4.4e-8","8.72","27.9","0.009","-8.48","-8.49","0","bK20K01D"
"(2021 TS10)","2109-2121","2","1.3e-8","8.51","25.5","0.027","-8.49","-8.52","0","bK21T10S"
"(2017 YD1)","2102-2119","3","2.2e-6","2.66","30.0","0.003","-8.50","-8.57","0","bK17Y01D"
"(2018 WS)","2106-2106","1","4.5e-8","3.30","26.4","0.018","-8.50","-8.50","0","bK18W00S"
"(2015 HE183)","2086-2114","3","1.3e-7","13.59","28.2","0.008","-8.51","-8.52","0","bK15HI3E"
"(2021 ER4)","2119-2121","2","5.8e-8","12.81","27.1","0.013","-8.52","-8.71","0","bK21E04R"
"(2022 OC5)","2119-2122","3","7.1e-8","9.88","27.1","0.013","-8.53","-8.86","0","bK22O05C"
"(1994 XM1)","2117-2117","1","1.9e-7","11.40","28.2","0.008","-8.53","-8.53","0","bJ94X01M"
"(2018 AT2)","2109-2115","2","1.5e-7","7.11","27.7","0.010","-8.54","-8.58","0","bK18A02T"
"(2018 XX3)","2088-2118","3","1.2e-6","4.41","29.7","0.004","-8.54","-8.66","0","bK18X03X"
"(2019 YV4)","2044-2061","3","1.5e-8","20.14","27.3","0.012","-8.54","-8.61","0","bK19Y04V"
"(2018 GE)","2111-2111","1","1.4e-7","1.98","27.5","0.011","-8.56","-8.56","0","bK18G00E"
"(2021 EG3)","2025-2025","1","8.0e-9","24.07","29.2","0.005","-8.57","-8.57","0","bK21E03G"
"(2020 PW2)","2073-2100","9","2.5e-7","10.61","28.7","0.006","-8.57","-9.09","0","bK20P02W"
"(2013 NJ4)","2114-2114","2","1.1e-7","5.61","27.4","0.011","-8.58","-8.75","0","bK13N04J"
"(2017 QJ2)","2033-2045","2","1.4e-9","19.22","26.2","0.019","-8.59","-8.60","0","bK17Q02J"
"(2018 LS5)","2093-2104","2","3.2e-8","8.49","26.6","0.016","-8.59","-8.67","0","bK18L05S"
"(2020 YE4)","2107-2107","1","1.8e-8","10.87","26.2","0.020","-8.59","-8.59","0","bK20Y04E"
"(2019 UN8)","2093-2114","5","4.4e-7","19.29","29.7","0.004","-8.60","-8.94","0","bK19U08N"
"(2018 WG2)","2077-2118","9","1.6e-6","6.47","30.1","0.003","-8.61","-8.80","0","bK18W02G"
"(2022 ET)","2117-2117","1","2.0e-6","7.10","30.2","0.003","-8.61","-8.61","0","bK22E00T"
"(2005 TK50)","2106-2106","1","1.7e-7","20.58","28.9","0.006","-8.62","-8.62","0","bK05T50K"
"(2008 SH148)","2042-2087","3","6.3e-9","8.48","26.1","0.021","-8.63","-8.72","0","bK08SE8H"
"(2021 RY4)","2110-2110","1","2.2e-7","9.41","28.4","0.007","-8.63","-8.63","0","bK21R04Y"
"(2019 JX1)","2100-2104","2","3.1e-7","14.36","29.1","0.005","-8.63","-8.75","0","bK19J01X"
"(2017 UK1)","2092-2115","2","5.5e-8","7.56","27.0","0.013","-8.64","-8.65","0","bK17U01K"
"(2019 JH7)","2114-2118","2","9.0e-7","9.06","29.6","0.004","-8.64","-8.93","0","bK19J07H"
"(2017 SA21)","2056-2081","3","8.3e-8","10.04","28.3","0.007","-8.64","-8.73","0","bK17S21A"
"(2021 RN10)","2121-2121","2","5.1e-8","16.46","27.5","0.011","-8.65","-8.84","0","bK21R10N"
"(2016 SX1)","2119-2119","1","3.7e-7","2.70","28.5","0.007","-8.65","-8.65","0","bK16S01X"
"(2021 UA1)","2071-2121","18","5.5e-6","12.91","31.8","0.002","-8.65","-9.02","0","bK21U01A"
"(2017 FD3)","2044-2044","1","2.1e-8","11.36","27.8","0.009","-8.67","-8.67","0","bK17F03D"
"(2019 UT5)","2056-2056","2","5.2e-8","14.42","28.4","0.007","-8.68","-8.90","0","bK19U05T"
"(2019 VS4)","2102-2105","2","6.2e-8","7.18","27.3","0.012","-8.68","-8.69","0","bK19V04S"
"(2019 SQ1)","2090-2115","2","1.0e-7","6.00","27.6","0.010","-8.68","-8.77","0","bK19S01Q"
"(2008 GF1)","2080-2080","1","7.4e-8","14.61","28.3","0.007","-8.69","-8.69","0","bK08G01F"
"(2021 BV1)","2064-2064","1","2.5e-8","21.48","28.0","0.008","-8.71","-8.71","0","bK21B01V"
"(2017 FS)","2119-2119","2","1.8e-7","19.71","29.0","0.005","-8.71","-8.74","0","bK17F00S"
"(2018 CK)","2072-2073","2","7.7e-9","14.41","26.4","0.018","-8.72","-8.77","0","bK18C00K"
"(2020 HM7)","2088-2088","1","7.3e-9","10.63","25.9","0.023","-8.72","-8.72","0","bK20H07M"
"(2018 UL)","2097-2097","1","4.6e-7","5.47","29.2","0.005","-8.72","-8.72","0","bK18U00L"
"(2021 EN3)","2093-2093","1","4.1e-8","10.86","27.4","0.011","-8.73","-8.73","0","bK21E03N"
"(1993 HP1)","2065-2112","2","2.9e-8","9.72","27.0","0.014","-8.74","-8.88","0","bJ93H01P"
"(2011 FQ16)","2105-2114","4","8.3e-8","8.00","27.7","0.010","-8.74","-8.86","0","bK11F16Q"
"(2003 UM3)","2030-2057","2","3.4e-8","13.14","28.1","0.008","-8.75","-8.76","0","bK03U03M"
"(2020 CW)","2046-2057","3","2.2e-6","20.09","32.5","0.001","-8.75","-8.84","0","bK20C00W"
"(2022 AO1)","2113-2114","3","4.3e-7","13.95","29.5","0.004","-8.76","-8.95","0","bK22A01O"
"(2016 DF1)","2118-2118","1","9.0e-10","20.86","24.4","0.046","-8.76","-8.76","0","bK16D01F"
"(2015 ND3)","2120-2120","1","1.3e-8","8.12","26.0","0.021","-8.77","-8.77","0","bK15N03D"
"(2022 EA7)","2114-2114","1","6.5e-8","7.98","27.5","0.011","-8.77","-8.77","0","bK22E07A"
"(2021 XW5)","2112-2119","2","5.3e-8","9.43","27.4","0.011","-8.77","-8.82","0","bK21X05W"
"(2019 FT1)","2113-2113","1","3.0e-8","10.86","27.0","0.014","-8.78","-8.78","0","bK19F01T"
"(2012 XB112)","2118-2121","2","1.1e-6","4.12","29.8","0.004","-8.78","-8.89","0","bK12XB2B"
"(2002 EM7)","2117-2117","1","1.8e-9","10.28","24.4","0.045","-8.78","-8.78","0","bK02E07M"
"(2009 EJ1)","2042-2112","4","3.0e-8","10.77","28.3","0.008","-8.80","-8.83","0","bK09E01J"
"(2022 BM3)","2097-2122","9","5.1e-7","7.41","29.4","0.004","-8.80","-9.31","0","bK22B03M"
"(2017 VC14)","2077-2111","2","1.1e-7","11.51","28.3","0.007","-8.81","-8.86","0","bK17V14C"
"(2020 TG6)","2039-2039","1","3.1e-8","18.61","29.1","0.005","-8.83","-8.83","0","bK20T06G"
"(2006 WV)","2078-2113","2","2.1e-8","14.62","27.1","0.013","-8.85","-8.92","0","bK06W00V"
"(2021 AZ5)","2110-2110","1","9.8e-8","8.06","28.1","0.008","-8.85","-8.85","0","bK21A05Z"
"(2008 JL24)","2091-2111","4","5.5e-7","2.72","29.6","0.004","-8.87","-9.07","0","bK08J24L"
"(2008 US)","2040-2044","2","3.9e-7","18.91","31.4","0.002","-8.88","-9.01","0","bK08U00S"
"(2001 DZ76)","2079-2079","1","2.3e-9","12.36","25.4","0.028","-8.88","-8.88","0","bK01D76Z"
"(2019 QD)","2112-2112","1","1.2e-7","15.33","28.8","0.006","-8.88","-8.88","0","bK19Q00D"
"(2022 FD)","2088-2088","1","1.1e-8","3.52","26.2","0.020","-8.89","-8.89","0","bK22F00D"
"(2021 UU)","2091-2119","2","1.4e-8","10.84","26.6","0.016","-8.89","-9.10","0","bK21U00U"
"(2011 CA7)","2062-2071","7","4.4e-7","8.92","30.3","0.003","-8.92","-9.48","0","bK11C07A"
"(2020 SC)","2102-2102","1","6.4e-9","21.90","26.7","0.016","-8.93","-8.93","0","bK20S00C"
"(2014 UU56)","2096-2119","6","9.4e-8","8.17","28.3","0.007","-8.94","-9.33","0","bK14U56U"
"(2021 RG6)","2114-2121","2","2.5e-7","6.76","28.9","0.006","-8.94","-8.94","0","bK21R06G"
"(1995 UB)","2112-2120","2","2.6e-8","12.19","27.3","0.012","-8.95","-9.03","0","bJ95U00B"
"(2021 KQ2)","2102-2116","4","8.2e-7","2.33","29.9","0.004","-8.95","-9.07","0","bK21K02Q"
"(2022 BD1)","2051-2051","1","2.8e-8","26.08","29.2","0.005","-8.96","-8.96","0","bK22B01D"
"(2018 GN)","2102-2102","1","3.8e-9","20.20","26.2","0.020","-8.97","-8.97","0","bK18G00N"
"(2010 CQ19)","2114-2114","1","1.8e-8","13.01","27.1","0.013","-8.97","-8.97","0","bK10C19Q"
"(2012 GD)","2060-2118","6","1.7e-8","8.57","26.9","0.014","-8.98","-9.33","0","bK12G00D"
"(2014 AK51)","2110-2110","1","1.3e-8","10.27","26.6","0.016","-8.98","-8.98","0","bK14A51K"
"(2017 UK52)","2031-2091","6","3.5e-9","11.28","27.0","0.014","-8.98","-9.19","0","bK17U52K"
"(2021 FF2)","2075-2108","3","6.2e-8","9.39","28.1","0.008","-8.99","-9.21","0","bK21F02F"
"(2008 BE15)","2102-2102","1","7.2e-10","18.05","24.7","0.040","-9.00","-9.00","0","bK08B15E"
"(2021 BY1)","2051-2051","1","2.0e-8","20.77","28.7","0.006","-9.00","-9.00","0","bK21B01Y"
"(2008 OT7)","2110-2110","1","2.2e-8","9.50","27.1","0.013","-9.01","-9.01","0","bK08O07T"
"(2021 GZ7)","2074-2101","2","1.0e-7","10.14","28.9","0.006","-9.02","-9.24","0","bK21G07Z"
"(2016 JA)","2089-2089","1","2.9e-8","7.57","27.5","0.011","-9.02","-9.02","0","bK16J00A"
"(2021 PA1)","2113-2113","1","1.3e-8","15.77","27.1","0.013","-9.03","-9.03","0","bK21P01A"
"(2021 WR4)","2064-2120","17","9.6e-7","4.31","30.4","0.003","-9.03","-9.46","0","bK21W04R"
"(2014 RT17)","2120-2120","1","5.4e-10","19.79","24.4","0.044","-9.06","-9.06","0","bK14R17T"
"(2008 CF22)","2094-2112","2","4.1e-9","11.83","26.0","0.021","-9.07","-9.35","0","bK08C22F"
"(1993 KA2)","2060-2060","1","2.6e-8","23.20","29.0","0.005","-9.08","-9.08","0","bJ93K02A"
"(2005 CM7)","2090-2120","3","3.0e-9","18.40","26.2","0.020","-9.09","-9.31","0","bK05C07M"
"(2017 WW1)","2049-2055","4","8.9e-8","12.45","29.7","0.004","-9.09","-9.52","0","bK17W01W"
"(2020 YS2)","2092-2119","7","1.7e-6","2.63","31.0","0.002","-9.09","-9.29","0","bK20Y02S"
"(2022 AV13)","2057-2118","23","2.8e-6","7.02","31.8","0.002","-9.10","-9.63","0","bK22A13V"
"(2019 TX)","2061-2073","3","5.4e-8","7.04","28.7","0.006","-9.10","-9.29","0","bK19T00X"
"(2015 CT13)","2116-2116","1","5.7e-9","6.47","25.9","0.022","-9.11","-9.11","0","bK15C13T"
"(2020 SM2)","2080-2111","3","1.1e-7","4.18","28.7","0.006","-9.11","-9.49","0","bK20S02M"
"(2020 HE7)","2115-2115","1","1.6e-7","3.12","28.8","0.006","-9.11","-9.11","0","bK20H07E"
"(2014 UZ175)","2081-2081","1","3.4e-8","6.17","27.9","0.009","-9.13","-9.13","0","bK14UH5Z"
"(2014 DC)","2111-2111","1","1.1e-8","8.52","26.8","0.015","-9.17","-9.17","0","bK14D00C"
"(2019 SU1)","2106-2119","3","8.7e-8","5.08","28.4","0.007","-9.17","-9.20","0","bK19S01U"
"(2015 BP513)","2088-2088","1","8.4e-9","7.49","26.8","0.015","-9.18","-9.18","0","bK15Bp3P"
"(2016 DB)","2057-2082","3","3.9e-8","9.08","28.5","0.007","-9.19","-9.32","0","bK16D00B"
"(2020 SA2)","2117-2117","1","2.9e-8","15.63","28.1","0.008","-9.19","-9.19","0","bK20S02A"
"(2021 LL6)","2088-2088","1","7.6e-9","8.94","26.8","0.015","-9.20","-9.20","0","bK21L06L"
"(2012 FN35)","2108-2108","1","1.2e-9","8.48","24.9","0.036","-9.21","-9.21","0","bK12F35N"
"(2022 BO1)","2122-2122","2","1.7e-8","13.25","27.4","0.011","-9.21","-9.33","0","bK22B01O"
"(2019 SU2)","2088-2096","3","2.5e-7","11.10","30.1","0.003","-9.22","-9.36","0","bK19S02U"
"(2022 KC3)","2113-2119","2","1.0e-8","4.80","26.6","0.016","-9.22","-9.27","0","bK22K03C"
"(2021 VN3)","2069-2096","2","3.3e-7","9.06","30.6","0.003","-9.23","-9.23","0","bK21V03N"
"(2014 EC)","2119-2119","1","3.1e-8","15.77","28.2","0.008","-9.24","-9.24","0","bK14E00C"
"(2017 UJ2)","2078-2120","16","8.5e-7","5.24","30.9","0.002","-9.24","-9.82","0","bK17U02J"
"(2021 VR1)","2117-2117","1","3.1e-7","3.42","29.6","0.004","-9.24","-9.24","0","bK21V01R"
"(2009 XR1)","2049-2116","16","7.8e-8","6.02","29.3","0.005","-9.26","-9.55","0","bK09X01R"
"(2012 CS46)","2116-2116","1","2.8e-8","6.72","27.7","0.010","-9.28","-9.28","0","bK12C46S"
"(2020 DR4)","2045-2053","2","6.2e-8","6.83","29.7","0.004","-9.33","-9.46","0","bK20D04R"
"(2019 UX12)","2108-2108","1","5.8e-8","9.61","28.7","0.006","-9.33","-9.33","0","bK19U12X"
"(2002 CA26)","2120-2120","1","2.4e-9","11.85","25.9","0.022","-9.35","-9.35","0","bK02C26A"
"(2019 CY1)","2060-2060","1","6.4e-10","13.35","25.7","0.025","-9.35","-9.35","0","bK19C01Y"
"(2021 HY2)","2051-2104","10","3.5e-8","7.69","28.9","0.006","-9.36","-9.83","0","bK21H02Y"
"(2013 AC4)","2085-2085","1","9.7e-10","19.70","26.0","0.022","-9.36","-9.36","0","bK13A04C"
"(2020 VT3)","2100-2113","2","5.9e-8","8.96","28.9","0.006","-9.38","-9.39","0","bK20V03T"
"(2017 MA3)","2110-2110","1","6.0e-9","9.02","26.7","0.015","-9.39","-9.39","0","bK17M03A"
"(2019 HN4)","2099-2099","1","4.7e-8","5.57","28.5","0.007","-9.40","-9.40","0","bK19H04N"
"(2021 LC4)","2112-2112","1","2.7e-9","15.17","26.4","0.018","-9.40","-9.40","0","bK21L04C"
"(2019 BB5)","2109-2109","1","6.1e-9","7.23","26.7","0.016","-9.41","-9.41","0","bK19B05B"
"(2012 VQ6)","2102-2102","1","5.1e-9","12.92","27.0","0.013","-9.43","-9.43","0","bK12V06Q"
"(2019 VC)","2117-2120","2","8.3e-8","3.81","28.8","0.006","-9.43","-9.52","0","bK19V00C"
"(2005 WY)","2060-2107","2","4.1e-9","8.14","27.1","0.013","-9.46","-9.51","0","bK05W00Y"
"(2006 EH1)","2112-2112","1","3.0e-9","13.27","26.5","0.017","-9.46","-9.46","0","bK06E01H"
"(2022 HY3)","2091-2122","2","2.0e-8","7.13","27.8","0.009","-9.47","-9.49","0","bK22H03Y"
"(2021 AC4)","2120-2120","1","6.1e-8","7.16","28.8","0.006","-9.50","-9.50","0","bK21A04C"
"(2016 CO248)","2086-2105","2","1.0e-8","5.06","27.5","0.011","-9.51","-9.54","0","bK16CO8O"
"(2014 XE32)","2083-2083","1","1.7e-9","13.53","26.4","0.018","-9.51","-9.51","0","bK14X32E"
"(2017 YC6)","2072-2072","1","6.2e-10","15.21","25.9","0.023","-9.53","-9.53","0","bK17Y06C"
"(2012 SW2)","2117-2117","1","5.8e-9","16.57","27.4","0.011","-9.55","-9.55","0","bK12S02W"
"(2018 BQ6)","2078-2081","2","5.1e-9","10.05","27.4","0.011","-9.56","-9.61","0","bK18B06Q"
"(2019 QR8)","2086-2090","2","1.0e-8","12.92","28.0","0.008","-9.56","-9.58","0","bK19Q08R"
"(2021 VD8)","2084-2096","2","1.2e-7","11.65","30.3","0.003","-9.60","-9.64","0","bK21V08D"
"(2019 TA)","2116-2116","1","8.8e-8","6.06","29.5","0.004","-9.65","-9.65","0","bK19T00A"
"(2019 DF)","2059-2119","10","5.2e-8","14.34","29.9","0.003","-9.66","-9.94","0","bK19D00F"
"(2021 LC1)","2121-2121","1","1.7e-9","15.50","26.5","0.017","-9.68","-9.68","0","bK21L01C"
"(2017 GM)","2080-2121","2","4.6e-8","16.20","29.9","0.004","-9.69","-9.84","0","bK17G00M"
"(2017 KJ32)","2074-2105","2","3.5e-8","2.44","28.9","0.006","-9.70","-9.96","0","bK17K32J"
"(2021 BR2)","2108-2114","3","2.9e-7","7.38","30.8","0.002","-9.72","-9.96","0","bK21B02R"
"(2007 EK)","2093-2093","1","3.8e-8","8.33","29.3","0.005","-9.73","-9.73","0","bK07E00K"
